"year";"month";"temp";"prec"
1901;1;-4,8;14
1901;2;-5,3;14
1901;3;2,5;30
1901;4;8,1;100
1901;5;13,1;29
1901;6;16,3;122
1901;7;18,1;108
1901;8;16,6;55
1901;9;13,9;33
1901;10;8,2;40
1901;11;1;26
1901;12;0,4;36
1902;1;1,5;44
1902;2;-0,2;37
1902;3;3,3;48
1902;4;9,1;17
1902;5;8,7;89
1902;6;14,8;97
1902;7;17,2;95
1902;8;16,1;143
1902;9;12,5;77
1902;10;7,2;88
1902;11;1,1;4
1902;12;-2,6;74
1903;1;-1,9;41
1903;2;2,7;22
1903;3;5,5;22
1903;4;4,7;113
1903;5;12,7;26
1903;6;15,1;42
1903;7;16,3;154
1903;8;16,5;117
1903;9;13,3;51
1903;10;9,4;55
1903;11;4,1;93
1903;12;-2,5;27
1904;1;-2,7;18
1904;2;1,1;53
1904;3;3,9;43
1904;4;9,5;54
1904;5;12,8;104
1904;6;16,3;63
1904;7;20;15
1904;8;17,4;66
1904;9;11,4;101
1904;10;8,3;45
1904;11;2;61
1904;12;0,7;41
1905;1;-3,9;62
1905;2;0,5;39
1905;3;4,6;77
1905;4;6,7;67
1905;5;11,8;57
1905;6;17,1;93
1905;7;20,1;45
1905;8;17,2;97
1905;9;13,6;44
1905;10;3,5;99
1905;11;2,7;78
1905;12;-0,1;35
1906;1;-0,3;40
1906;2;-1,2;46
1906;3;2,4;62
1906;4;8;39
1906;5;12,9;49
1906;6;14,5;117
1906;7;17,8;83
1906;8;17;106
1906;9;11,8;77
1906;10;9,7;8
1906;11;5,1;15
1906;12;-3,1;66
1907;1;-1,3;59
1907;2;-2,4;44
1907;3;1,9;71
1907;4;5,7;69
1907;5;14,1;26
1907;6;15,6;65
1907;7;15,5;108
1907;8;17,2;91
1907;9;13,3;33
1907;10;10,4;16
1907;11;2,7;25
1907;12;1,1;71
1908;1;-4,4;8
1908;2;0,2;53
1908;3;2,2;15
1908;4;5,7;71
1908;5;14,3;62
1908;6;17,8;68
1908;7;17,3;92
1908;8;14,8;91
1908;9;11,5;73
1908;10;7;0
1908;11;0,7;32
1908;12;-1,2;16
1909;1;-2,7;26
1909;2;-3,1;40
1909;3;2,1;23
1909;4;8,8;34
1909;5;11,3;75
1909;6;14,7;119
1909;7;15,4;194
1909;8;16,8;37
1909;9;12,7;48
1909;10;9,6;48
1909;11;1,2;43
1909;12;0,8;76
1910;1;0,5;82
1910;2;1,4;42
1910;3;3,8;24
1910;4;7,3;66
1910;5;12;68
1910;6;16,5;131
1910;7;15,6;102
1910;8;16,2;75
1910;9;11,5;71
1910;10;8,8;32
1910;11;2,1;140
1910;12;1,9;48
1911;1;-3,7;20
1911;2;0,2;44
1911;3;4,5;15
1911;4;7,4;59
1911;5;13;52
1911;6;15,3;85
1911;7;20,4;8
1911;8;19,8;40
1911;9;14,9;36
1911;10;8,6;37
1911;11;4,4;52
1911;12;2,3;71
1912;1;-1,4;59
1912;2;2,4;40
1912;3;6,4;61
1912;4;6,7;36
1912;5;12,9;106
1912;6;16,3;126
1912;7;17,1;112
1912;8;14,1;116
1912;9;8,4;124
1912;10;6,2;64
1912;11;1;39
1912;12;1,3;21
1913;1;-1,3;49
1913;2;0,2;10
1913;3;6,2;49
1913;4;7,7;40
1913;5;12,2;61
1913;6;14,8;98
1913;7;14,5;120
1913;8;15;92
1913;9;12,4;67
1913;10;9,3;15
1913;11;6,2;79
1913;12;1,1;59
1914;1;-4,7;32
1914;2;1;14
1914;3;4,9;88
1914;4;10;34
1914;5;11,2;145
1914;6;14,5;58
1914;7;16,7;96
1914;8;17,2;65
1914;9;12,2;94
1914;10;7,5;13
1914;11;2,7;33
1914;12;2,1;44
1915;1;-0,6;102
1915;2;0,3;23
1915;3;2,4;69
1915;4;7,3;51
1915;5;14,5;37
1915;6;18,5;54
1915;7;17;84
1915;8;15,3;53
1915;9;11,4;65
1915;10;5,8;67
1915;11;0,5;29
1915;12;3,9;98
1916;1;3,4;68
1916;2;1;75
1916;3;5,4;31
1916;4;8,5;44
1916;5;13,8;60
1916;6;13,5;135
1916;7;17;76
1916;8;16,3;62
1916;9;11,7;72
1916;10;8,3;44
1916;11;4;26
1916;12;1,3;57
1917;1;-3,3;62
1917;2;-4,3;10
1917;3;1,2;40
1917;4;4,4;82
1917;5;15,9;36
1917;6;18,8;11
1917;7;17,9;72
1917;8;17,1;133
1917;9;15,1;27
1917;10;7,1;91
1917;11;3,9;34
1917;12;-3,9;21
1918;1;-0,5;44
1918;2;1,1;20
1918;3;4,5;15
1918;4;9,4;47
1918;5;14,3;52
1918;6;13,2;81
1918;7;16,9;128
1918;8;16,2;50
1918;9;13,6;63
1918;10;6,9;23
1918;11;2;18
1918;12;3,5;107
1919;1;0,8;21
1919;2;-1,7;45
1919;3;3,7;95
1919;4;5,2;76
1919;5;11,2;32
1919;6;15,7;89
1919;7;14,7;103
1919;8;17,2;74
1919;9;15,4;24
1919;10;5,9;58
1919;11;1,4;106
1919;12;0,7;106
1920;1;2,7;70
1920;2;1,9;25
1920;3;5,9;23
1920;4;9,7;55
1920;5;15;112
1920;6;15,2;72
1920;7;17,9;119
1920;8;15,4;51
1920;9;13,3;94
1920;10;7,1;1
1920;11;0,5;3
1920;12;0,5;33
1921;1;3,7;49
1921;2;0,4;16
1921;3;5,1;9
1921;4;7,3;52
1921;5;14,8;65
1921;6;15;76
1921;7;20;47
1921;8;17,8;105
1921;9;13,8;31
1921;10;10,3;34
1921;11;-0,4;28
1921;12;-0,2;30
1922;1;-3;48
1922;2;-1,1;47
1922;3;4,4;56
1922;4;6,5;76
1922;5;14;74
1922;6;16,7;80
1922;7;16,2;159
1922;8;16,2;91
1922;9;11,2;99
1922;10;5,6;84
1922;11;1,5;72
1922;12;0,4;73
1923;1;-0,3;61
1923;2;1,6;70
1923;3;4,6;34
1923;4;7,2;75
1923;5;12,9;27
1923;6;12,1;89
1923;7;19;62
1923;8;17,1;59
1923;9;13,4;36
1923;10;10,5;108
1923;11;3;66
1923;12;-1,6;90
1924;1;-4,5;21
1924;2;-3,4;21
1924;3;2,6;24
1924;4;7,3;122
1924;5;14;120
1924;6;15,3;141
1924;7;17,2;185
1924;8;14,4;96
1924;9;13,7;63
1924;10;8,4;30
1924;11;1,8;37
1924;12;-1,2;33
1925;1;0,7;29
1925;2;2,8;25
1925;3;0,6;62
1925;4;8,2;86
1925;5;13,2;36
1925;6;15,4;47
1925;7;17,1;117
1925;8;16,5;117
1925;9;11;62
1925;10;8,1;25
1925;11;1,4;51
1925;12;-1,5;62
1926;1;-0,9;52
1926;2;4,4;38
1926;3;4,1;58
1926;4;9,5;53
1926;5;11,1;95
1926;6;13,3;181
1926;7;16,4;156
1926;8;15,6;47
1926;9;14,5;36
1926;10;8,3;82
1926;11;5,5;19
1926;12;-1,1;35
1927;1;0;43
1927;2;-0,9;44
1927;3;4,9;34
1927;4;7,7;86
1927;5;12,2;52
1927;6;15,5;97
1927;7;17,1;73
1927;8;16,2;107
1927;9;13,4;138
1927;10;7,1;21
1927;11;3,2;50
1927;12;-2,7;16
1928;1;0,9;29
1928;2;2;59
1928;3;3;28
1928;4;8;21
1928;5;9,8;64
1928;6;15;83
1928;7;19,5;22
1928;8;17,1;147
1928;9;12,6;26
1928;10;8,1;47
1928;11;5,3;66
1928;12;-1,7;63
1929;1;-6,7;47
1929;2;-11,2;17
1929;3;1,7;8
1929;4;4,7;42
1929;5;13,1;49
1929;6;15,3;74
1929;7;17,9;110
1929;8;17,1;79
1929;9;14,9;20
1929;10;9,4;45
1929;11;3,6;32
1929;12;2,3;59
1930;1;0,1;17
1930;2;-2;9
1930;3;4,6;45
1930;4;8;111
1930;5;11,8;136
1930;6;18,6;37
1930;7;16,5;156
1930;8;15,7;147
1930;9;13,2;55
1930;10;8;94
1930;11;5,9;46
1930;12;-0,4;36
1931;1;-1,2;54
1931;2;-2,4;28
1931;3;-1,5;29
1931;4;5,8;53
1931;5;14,9;46
1931;6;17;99
1931;7;16,7;106
1931;8;15,4;114
1931;9;9,2;75
1931;10;6,3;51
1931;11;3;16
1931;12;-1,8;27
1932;1;-0,2;25
1932;2;-4,2;10
1932;3;0;23
1932;4;7;29
1932;5;12,2;86
1932;6;14,5;75
1932;7;17,5;135
1932;8;18,6;43
1932;9;16,3;49
1932;10;8,4;45
1932;11;3,3;55
1932;12;-1;6
1933;1;-4,6;33
1933;2;-1;28
1933;3;4,1;15
1933;4;7;32
1933;5;10,7;144
1933;6;13,4;82
1933;7;17,7;129
1933;8;16,9;35
1933;9;13,1;33
1933;10;8,4;63
1933;11;2,1;44
1933;12;-5,6;18
1934;1;-1,2;27
1934;2;-1,1;5
1934;3;4,1;27
1934;4;10,3;27
1934;5;13,8;34
1934;6;16;104
1934;7;18,4;63
1934;8;16,3;112
1934;9;14,9;50
1934;10;8,6;67
1934;11;2,9;22
1934;12;4;31
1935;1;-3,1;34
1935;2;0,6;83
1935;3;2;11
1935;4;6,9;90
1935;5;10,5;87
1935;6;17,6;63
1935;7;18;43
1935;8;16,6;36
1935;9;13,5;65
1935;10;8,8;100
1935;11;3,9;25
1935;12;-1,2;35
1936;1;0,6;69
1936;2;-0,2;54
1936;3;4,8;30
1936;4;7,6;41
1936;5;12,4;60
1936;6;15,8;141
1936;7;17;99
1936;8;15,8;79
1936;9;13,1;109
1936;10;5,9;56
1936;11;2,7;37
1936;12;0;29
1937;1;-1,7;40
1937;2;1,4;74
1937;3;3,7;33
1937;4;7,7;84
1937;5;14,9;40
1937;6;17;93
1937;7;17,8;64
1937;8;16,8;82
1937;9;13,3;101
1937;10;8;60
1937;11;2,9;29
1937;12;-1,2;55
1938;1;0,2;67
