year;month;pr
1901;1;38
1901;2;24
1901;3;49
1901;4;48
1901;5;37
1901;6;50
1901;7;80
1901;8;98
1901;9;70
1901;10;76
1901;11;28
1901;12;47
1902;1;33
1902;2;32
1902;3;57
1902;4;16
1902;5;61
1902;6;45
1902;7;39
1902;8;53
1902;9;31
1902;10;38
1902;11;13
1902;12;80
1903;1;52
1903;2;12
1903;3;20
1903;4;41
1903;5;33
1903;6;45
1903;7;62
1903;8;77
1903;9;36
1903;10;74
1903;11;62
1903;12;12
1904;1;31
1904;2;61
1904;3;38
1904;4;37
1904;5;49
1904;6;49
1904;7;19
1904;8;49
1904;9;66
1904;10;43
1904;11;36
1904;12;35
1905;1;40
1905;2;31
1905;3;71
1905;4;31
1905;5;16
1905;6;53
1905;7;47
1905;8;51
1905;9;49
1905;10;65
1905;11;48
1905;12;29
1906;1;53
1906;2;28
1906;3;76
1906;4;28
1906;5;77
1906;6;51
1906;7;74
1906;8;59
1906;9;39
1906;10;19
1906;11;54
1906;12;40
1907;1;32
1907;2;26
1907;3;46
1907;4;32
1907;5;57
1907;6;46
1907;7;80
1907;8;30
1907;9;32
1907;10;36
1907;11;32
1907;12;51
1908;1;17
1908;2;48
1908;3;26
1908;4;60
1908;5;70
1908;6;75
1908;7;68
1908;8;100
1908;9;38
1908;10;4
1908;11;32
1908;12;18
1909;1;30
1909;2;33
1909;3;21
1909;4;43
1909;5;36
1909;6;81
1909;7;99
1909;8;45
1909;9;74
1909;10;38
1909;11;47
1909;12;59
1910;1;47
1910;2;50
1910;3;16
1910;4;27
1910;5;58
1910;6;111
1910;7;90
1910;8;89
1910;9;37
1910;10;12
1910;11;109
1910;12;48
1911;1;17
1911;2;27
1911;3;28
1911;4;22
1911;5;66
1911;6;40
1911;7;18
1911;8;19
1911;9;35
1911;10;24
1911;11;48
1911;12;64
1912;1;39
1912;2;41
1912;3;51
1912;4;18
1912;5;59
1912;6;61
1912;7;53
1912;8;92
1912;9;48
1912;10;60
1912;11;51
1912;12;39
1913;1;42
1913;2;23
1913;3;28
1913;4;32
1913;5;74
1913;6;99
1913;7;54
1913;8;32
1913;9;46
1913;10;31
1913;11;78
1913;12;50
1914;1;29
1914;2;28
1914;3;93
1914;4;26
1914;5;88
1914;6;64
1914;7;95
1914;8;59
1914;9;68
1914;10;26
1914;11;36
1914;12;47
1915;1;81
1915;2;22
1915;3;50
1915;4;40
1915;5;28
1915;6;21
1915;7;55
1915;8;63
1915;9;27
1915;10;29
1915;11;35
1915;12;87
1916;1;60
1916;2;64
1916;3;40
1916;4;47
1916;5;63
1916;6;65
1916;7;48
1916;8;80
1916;9;53
1916;10;53
1916;11;37
1916;12;66
1917;1;41
1917;2;4
1917;3;47
1917;4;31
1917;5;37
1917;6;64
1917;7;49
1917;8;101
1917;9;19
1917;10;77
1917;11;27
1917;12;21
1918;1;57
1918;2;17
1918;3;24
1918;4;47
1918;5;41
1918;6;39
1918;7;50
1918;8;52
1918;9;67
1918;10;34
1918;11;22
1918;12;75
1919;1;23
1919;2;41
1919;3;49
1919;4;52
1919;5;24
1919;6;22
1919;7;83
1919;8;42
1919;9;46
1919;10;30
1919;11;79
1919;12;88
1920;1;93
1920;2;20
1920;3;28
1920;4;59
1920;5;55
1920;6;15
1920;7;74
